"Record ID","Repeat Instrument","Repeat Instance","Historic Data","Date Record Entered:","Type of Climb","Date of Climb","Name of Climb:","Grade of Climb (YDS):","Grade of Climb (YDS):","Grade of Climb (Fr):","Grade of Climb (Fr):","Grade of Climb (V Scale):","Grade of Climb (V Scale):","Difficulty Calc","Type of Protection:","Type of Ascent:","Type of Ascent:",Repeat?,"Second Go?",Followed?,"Pink Point?","Notes about the Climb","Climbing Area:","Wall/Boulder Within Area:",Latitude,Longitude,Complete?,"Upload Picture","Picture Notes:",Complete?
1,,,Yes,2018-10-03,Route,2009-10-17,"Hidden Treasure",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Lovely Tower",,,Complete,,,
2,,,Yes,2018-10-03,Route,2009-10-24,"Yuppie With A Gun",5.11a,5.11a,,,,,13,Sport,"Red Point",,,,,,,"Jackson Falls","The Gallery",,,Complete,,,
3,,,Yes,2018-10-03,Route,2009-10-24,"Who Let the Snakes Out",5.10b,5.10b,,,,,10,Sport,Flash,,,,,,,"Jackson Falls","Snakes Roof",,,Complete,,,
4,,,Yes,2018-10-03,Route,2009-10-24,"Deep Throat",5.10b,5.10b,,,,,10,Sport,"Red Point",,,,,,,"Jackson Falls","The Gallery",,,Complete,,,
5,,,Yes,2018-10-03,Route,2009-10-24,"The Walrus",5.10b,5.10b,,,,,10,Sport,"Red Point",,,,,,,"Jackson Falls","The Gallery",,,Complete,,,
6,,,Yes,2018-10-03,Route,2009-10-24,"Group Therapy",5.10c,5.10c,,,,,11,Sport,"Red Point",,,,,,,"Jackson Falls","The Gallery",,,Complete,,,
7,,,Yes,2018-10-03,Route,2009-10-25,"Velvet Green",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Lovely Tower",,,Complete,,,
8,,,Yes,2018-10-03,Route,2009-11-21,Venom,5.10a,5.10a,,,,,9,Sport,Flash,,,,,,,"Jackson Falls","Mr. Jimmy",,,Complete,,,
9,,,Yes,2018-10-03,Route,2009-11-21,"Earthbound Misfit",5.10a,5.10a,,,,,9,Sport,Flash,,,,,,,"Jackson Falls","The Gallery",,,Complete,,,
10,,,Yes,2018-10-03,Route,2009-11-21,"Spiders from mars",5.10b,5.10b,,,,,10,Sport,Flash,,,,,,,"Jackson Falls","Mr. Jimmy",,,Complete,,,
